"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.331414050E-1,-3.609863281E0,8.595123291E-1,8.508987427E0,9.282927414E0
4.381462880E-1,-3.539825439E0,1.186920166E0,1.030763245E1,1.096295719E1
4.431511710E-1,-3.611053467E0,8.487396240E-1,8.681381226E0,9.440680382E0
4.481560540E-1,-3.365051270E0,1.072006226E0,8.807067871E0,9.488794016E0
4.531609360E-1,-3.625427246E0,1.176742554E0,9.611526489E0,1.033972375E1
4.581658190E-1,-3.810379028E0,7.996673584E-1,7.714111328E0,8.640947275E0
4.631707020E-1,-3.752319336E0,1.149215698E0,9.098571777E0,9.908814536E0
4.681755850E-1,-4.047393799E0,9.283447266E-1,8.955505371E0,9.871387792E0
4.731804680E-1,-3.940856934E0,8.966217041E-1,7.817672729E0,8.800584683E0
4.781853500E-1,-4.048004150E0,1.240798950E0,9.516952515E0,1.041625196E1
4.831902330E-1,-4.370620728E0,7.733306885E-1,8.200134277E0,9.324299870E0
4.881951160E-1,-4.234146118E0,9.020080566E-1,8.158843994E0,9.236251794E0
4.931999990E-1,-4.435256958E0,1.006759644E0,9.414001465E0,1.045507020E1
4.981743640E-1,-4.456207275E0,6.123199463E-1,7.809890747E0,9.012608528E0
5.031792470E-1,-4.253295898E0,1.015136719E0,9.080017090E0,1.007808210E1
5.081841300E-1,-4.428680420E0,8.170166016E-1,9.324813843E0,1.035533097E1
5.131890130E-1,-4.341293335E0,6.422424316E-1,8.063079834E0,9.180008691E0
5.181938950E-1,-4.316146851E0,1.018737793E0,9.812042236E0,1.076768885E1
5.231682610E-1,-4.572326660E0,6.123199463E-1,8.817840576E0,9.951654095E0
5.281731430E-1,-4.389175415E0,7.344207764E-1,8.504806519E0,9.598748284E0
5.331780260E-1,-4.441848755E0,8.236083984E-1,9.903015137E0,1.088476274E1
5.381523910E-1,-4.557968140E0,4.980010986E-1,8.301895142E0,9.483909616E0
5.431572740E-1,-4.462799072E0,8.870544434E-1,8.940551758E0,1.003179480E1
5.481621570E-1,-4.663299561E0,7.475891113E-1,9.563034058E0,1.066568669E1
5.531670400E-1,-4.563354492E0,6.188964844E-1,8.131301880E0,9.344801086E0
5.581414050E-1,-4.389770508E0,9.870147705E-1,9.725845337E0,1.071617239E1
